vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
1962,175000000,32.852443,23,23,118.0,15,5.6,4,2009.0,5,3,302469017
6560,175000000,128.655964,50,65,94.0,11,8.0,4,2015.0,2,1,857611174
2892,175000000,94.199316,25,30,106.0,14,6.7,4,2016.0,4,1,966550600
6849,200000000,77.300194,33,115,124.0,7,6.6,3,2010.0,1,3,623933331
3118,170000000,77.178973,56,36,127.0,13,5.8,3,2012.0,2,1,396600000
4496,180000000,110.620647,14,82,97.0,9,7.0,5,2014.0,3,1,758539785
4410,170000000,243.791743,148,33,130.0,14,7.3,4,2014.0,3,1,710644566
1326,175000000,41.796339,81,24,119.0,9,5.9,4,2013.0,5,2,150962475
5764,170000000,72.225265,41,70,136.0,12,7.6,3,2014.0,1,1,714766572
1959,165000000,44.041186,6,35,93.0,2,6.0,5,2010.0,1,1,752600867
2846,190000000,130.311355,93,52,130.0,7,6.2,4,2015.0,3,1,209154322
6135,165000000,203.73459,39,46,102.0,14,7.8,5,2014.0,2,1,652105443
4570,165000000,62.341073,38,66,108.0,18,7.1,4,2012.0,1,1,471222889
1474,165000000,47.323228,147,10,100.0,11,6.4,4,2004.0,3,1,305875730
2491,165000000,48.775723,109,67,120.0,2,4.9,3,2016.0,4,1,389681935
4227,165000000,67.263269,42,13,98.0,19,7.5,4,2010.0,3,1,494878759
2143,200000000,69.405188,144,14,109.0,14,5.9,3,2003.0,6,1,435000000
9742,170000000,481.098624,105,80,121.0,9,7.9,3,2014.0,4,1,773328629
10867,165000000,724.247784,120,36,169.0,31,8.1,3,2014.0,5,1,675120017
13752,160000000,167.58371,18,29,148.0,8,8.1,5,2010.0,3,3,825532764
143,15000000,9.476999,27,49,120.0,6,6.5,5,2016.0,2,4,77000000
8297,250000000,108.849621,50,30,169.0,20,7.0,3,2012.0,4,1,1021103568
3428,38000000,6.909942,141,30,106.0,9,6.6,3,2001.0,4,1,207283925
3292,150000000,60.269279,155,37,166.0,6,7.3,5,2008.0,3,1,333932083
5181,160000000,3.195174,45,41,132.0,12,7.1,3,2011.0,9,5,353624124
3984,160000000,127.284427,114,51,137.0,6,6.6,3,2015.0,3,1,653428261
1470,150000000,35.580815,5,14,109.0,18,5.8,5,2010.0,5,1,215283742
583,160000000,21.133748,29,14,99.0,16,5.5,4,2006.0,6,2,181674817
1725,170000000,56.268916,102,98,113.0,8,6.5,1,2016.0,5,1,299370084
2278,160000000,42.986467,15,41,93.0,26,6.0,5,2007.0,2,1,798958165
2268,160000000,63.148529,129,47,123.0,14,6.3,3,2016.0,4,1,433677183
3631,155000000,202.042635,145,32,126.0,11,5.8,4,2015.0,3,1,440603537
1514,155000000,49.661984,31,19,113.0,9,6.2,3,2010.0,3,1,415686217
1791,140000000,34.20669,114,101,183.0,12,6.6,3,2001.0,2,3,449220945
4040,150000000,25.468493,41,38,144.0,8,6.6,3,2007.0,9,2,709709780
927,155000000,39.019229,167,51,175.0,10,5.6,6,2004.0,8,1,167298192
5494,150000000,78.144395,22,80,138.0,14,7.4,4,2007.0,2,1,938212738
5608,150000000,101.250416,30,65,157.0,14,7.5,3,2005.0,3,2,895921036
2961,150000000,56.758411,27,33,92.0,12,6.2,2,2008.0,7,2,624029371
4853,150000000,70.867401,23,13,101.0,9,6.9,5,2007.0,6,1,585349010
3624,150000000,53.905592,115,32,115.0,10,6.7,4,2005.0,6,1,474968763
4369,150000000,65.677399,56,23,111.0,19,7.5,4,2007.0,2,1,623722818
7359,150000000,115.040024,137,113,140.0,27,7.5,3,2005.0,6,3,374218673
1810,150000000,44.141021,6,42,89.0,17,6.2,2,2008.0,1,3,603900354
1971,150000000,81.781591,16,42,105.0,5,5.9,5,2009.0,6,1,413106170
4021,150000000,5.954334,8,63,107.0,8,6.2,4,2009.0,8,1,373062864
3096,150000000,73.313918,25,22,129.0,36,6.4,4,2003.0,4,2,424988211
5295,150000000,165.125366,25,56,102.0,14,7.3,3,2013.0,2,1,1274219009
3443,150000000,70.78591,23,74,138.0,26,6.7,4,2003.0,5,1,738599701
4755,170000000,99.499595,40,43,112.0,10,6.8,3,2013.0,1,1,644571402
9427,150000000,434.278564,76,60,120.0,11,7.2,4,2015.0,3,1,378858340
2129,150000000,67.447636,107,47,138.0,13,6.5,2,2009.0,4,6,356613439
6525,150000000,86.493424,30,32,115.0,15,6.6,3,2011.0,1,1,449326618
1750,150000000,41.845878,156,16,98.0,8,6.3,4,2008.0,1,1,309979994
510,150000000,26.710398,15,21,88.0,2,5.1,5,2009.0,3,1,292817841
1431,150000000,44.927635,31,18,99.0,11,5.5,1,2012.0,5,1,301000000
2320,150000000,50.306728,18,25,113.0,15,5.7,2,2012.0,7,1,245527149
3224,150000000,114.522237,112,75,131.0,9,7.1,3,2015.0,7,3,682330139
1171,150000000,29.332905,21,25,91.0,11,5.7,4,2007.0,3,1,287594577
